date,state,population,new_infected_mean,perc_current_infected_mean,perc_total_infected_mean,total_cases,total_deaths
2020-02-22,AK,731545,5.103985644745814,6.976994777827494e-06,6.976994777827494e-06,0,0
2020-02-23,AK,731545,8.758925009750694,1.895018167644712e-05,1.895018167644712e-05,0,0
2020-02-24,AK,731545,11.362162667914221,3.4481916112352256e-05,3.4481916112352256e-05,0,0
2020-02-25,AK,731545,13.549134583040093,5.3003175341846125e-05,5.3003175341846125e-05,0,0
2020-02-26,AK,731545,15.122745232856687,7.367551297364825e-05,7.367551297364825e-05,0,0
2020-02-27,AK,731545,17.431127989701874,9.750334036595068e-05,9.750334036595068e-05,0,0
2020-02-28,AK,731545,20.933796985500344,0.00012611921086674055,0.00012611921086674058,0,0
2020-02-29,AK,731545,27.236348657683042,0.00016335047983540694,0.00016335047983540694,0,0
2020-03-01,AK,731545,32.380654414984996,0.0002076138599623779,0.00020761385996237794,0,0
2020-03-02,AK,731545,37.24136787224127,0.0002585216891078731,0.00025852168910787314,0,0
2020-03-03,AK,731545,42.74337384596303,0.0003169505948429448,0.00031695059484294485,0,0
2020-03-04,AK,731545,48.7794523720345,0.0003836306382743598,0.0003836306382743599,0,0
2020-03-05,AK,731545,55.276847046234295,0.00045919242469383406,0.00045919242469383417,0,0
2020-03-06,AK,731545,60.36303778096929,0.0005417068807846683,0.0005417068807846684,0,0
2020-03-07,AK,731545,63.306631249592726,0.0006282451405630725,0.0006282451405630726,0,0
2020-03-08,AK,731545,66.05583222024998,0.0007115644805565168,0.0007185414753343443,0,0
2020-03-09,AK,731545,68.35362813189886,0.0007930286462908847,0.0008119788279673319,0,0
2020-03-10,AK,731545,68.63429215561364,0.0008713179237621262,0.0009057998398744786,0,0
2020-03-11,AK,731545,67.20900727162274,0.0009446693548956623,0.0009976725302375086,0,0
2020-03-12,AK,731545,63.67988537671891,0.001011045504201395,0.0010847210171750434,0,0
2020-03-13,AK,731545,59.29858858201923,0.0010682770628783285,0.0011657804032442793,0,0
2020-03-14,AK,731545,55.58102479601622,0.0011156387806270875,0.001241757991493828,0,0
2020-03-15,AK,731545,52.02749529485375,0.001149527532019238,0.001312878011854645,0,0
2020-03-16,AK,731545,49.694274350469136,0.0011731947294376936,0.0013808085894000716,0,0
2020-03-17,AK,731545,48.676508121011544,0.001188826222030453,0.0014473479111383263,3,0
2020-03-18,AK,731545,48.93183626703692,0.0011972856639254478,0.001514236258768393,8,0
2020-03-19,AK,731545,50.65850716389941,0.0011998542752779482,0.0015834849135523083,11,0
2020-03-20,AK,731545,52.58890495002764,0.0011961799393229399,0.0016553723640167742,14,0
2020-03-21,AK,731545,54.77413439435953,0.0011885400765850225,0.001730246957369691,15,0
2020-03-22,AK,731545,57.98222397685821,0.0011812617720750682,0.001809506912638141,25,0
